Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Hammer Ø., Harper D.A.T., Ryan P.D.","25624260900;55745283900;7402922193;","Past: Paleontological statistics software package for education and data analysis",2001,"Palaeontologia Electronica","4","1",,"XIX","XX",,14157,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34748886657&partnerID=40&md5=b32644b1c039465d71cd1c90d0cd42e6","Paleontological Museum, University of Oslo, Sars gate 1, 0562 Oslo, Norway; Geological Museum, University of Copenhagen, Øster Voldgade 5-7, DK-1350 Copenhagen K, Denmark; Department of Geology, National University of Ireland, Galway, Ireland","Hammer, Ø., Paleontological Museum, University of Oslo, Sars gate 1, 0562 Oslo, Norway; Harper, D.A.T., Geological Museum, University of Copenhagen, Øster Voldgade 5-7, DK-1350 Copenhagen K, Denmark; Ryan, P.D., Department of Geology, National University of Ireland, Galway, Ireland","A comprehensive, but simple-to-use software package for executing a range of standard numerical analysis and operations used in quantitative paleontology has been developed. The program, called PAST (PAleontological STatistics), runs on standard Windows computers and is available free of charge. PAST integrates spreadsheettype data entry with univariate and multivariate statistics, curve fitting, time-series analysis, data plotting, and simple phylogenetic analysis. Many of the functions are specific to paleontology and ecology, and these functions are not found in standard, more extensive, statistical packages. PAST also includes fourteen case studies (data files and exercises) illustrating use of the program for paleontological problems, making it a complete educational package for courses in quantitative methods. Copyright: Palaeontological Association, 22 June 2001.","Data analysis; Education; Software",,Article,"Final",,Scopus,2-s2.0-34748886657
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,,,"Bookstein, F.L.",[No abstract available],,,,,,Scopus,2-s2.0-0003597817
"Manly B.F.J.","",[No title available],1994,"Multivariate Statistical Methods: A Primer",,,,"","",,2996,,,,"Manly, B.F.J.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0003501167
"Rohlf F.J., Slice D.","7003281107;6603334019;","Extensions of the procrustes method for the optimal superimposition of landmarks",1990,"Systematic Zoology","39","1",,"40","59",,2389,"10.2307/2992207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860428591&doi=10.2307%2f2992207&partnerID=40&md5=74ce7a85fe27c8da218b0b8e0fbb6d49","Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Rohlf, F.J., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States; Slice, D., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Superimposition methods for comparing configurations of landmarks in two or more specimens are reviewed. These methods show differences in shape among specimens as residuals after rotation, translation, and scaling them so that they align as well as possible. A new method is presented that generalizes Siegel and Benson's (1982) resistant-fit theta-rho analysis so that more than two objects can be compared at the same time. Both least-squares and resistant-fit approaches are generalized to allow for affine transformations (uniform shape change). The methods are compared, using artificial data and data on 18 landmarks on the wings of 127 species of North American mosquitoes. Graphical techniques are also presented to help summarize the patterns of differences in shape among the objects being compared. © 1990 Society of Systematic Zoology.",,,Article,"Final",,Scopus,2-s2.0-84860428591
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031107378&doi=10.1016%2fS1361-8415%2897%2985012-8&partnerID=40&md5=13e7bb81c1f834c67647b53d0eefa883","Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Bookstein, F.L., Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Morphometrics, a new branch of statistics, combines tools from geometry, computer graphics and biometrics in techniques for the multivariate analysis of biological shape variation. Although medical image analysts typically prefer to represent scenes by way of curving outlines or surfaces, the most recent developments in this associated statistical methodology have emphasized the domain of landmark data: size and shape of configurations of discrete, named points in two or three dimensions. This paper introduces a combination of Procrustes analysis and thin-plate splines, the two most powerful tools of landmark-based morphometrics, for multivariate analysis of curving outlines in samples of biomedical images. The thin-plate spline is used to assign point-to-point correspondences, called semi-landmarks, between curves of similar but variable shape, while the standard algorithm for Procrustes shape averages and shape coordinates is altered to accord with the ways in which semi-landmarks formally differ from more traditional landmark loci. Subsequent multivariate statistics and visualization proceed mainly as in the landmark-based methods. The combination provides a range of complementary filters, from high pass to low pass, for effects on outline shape in grouped studies. The low-pass version is based on the spectrum of the spline, the high pass, on a familiar special case of Procrustes analysis. This hybrid method is demonstrated in a comparison of the shape of the corpus callosum from mid-sagittal sections of MRI of 25 human brains, 12 normal and 13 with schizophrenia.","Morphometrics; Multivariate analysis; Outlines; Procrustes analysis; Thin-plate spline","algorithm; article; corpus callosum; histology; human; image processing; methodology; multivariate analysis; nuclear magnetic resonance imaging; pathology; schizophrenia; statistics; Algorithms; Corpus Callosum; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Multivariate Analysis; Schizophrenia",Article,"Final",,Scopus,2-s2.0-0031107378
"Zelditch M.L., Swiderski D.L., Sheets H.D., Fink W.L.","",[No title available],2004,"Geometric Morphometrics for Biologists: A Primer",,,,"","",,685,,,,"Zelditch, M.L.; Swiderski, D.L.; Sheets, H.D.; Fink, W.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-85013705089
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,573,"10.1007/s11692-009-9055-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449097227&doi=10.1007%2fs11692-009-9055-x&partnerID=40&md5=b3ed371cd9636aa0a4ab33d0e92745b7","Konrad Lorenz Institute for Evolution and Cognition Research, Adolf Lorenz Gasse 2, Altenberg A-3422, Austria; Department of Theoretical Biology, University of Vienna, Althanstrasse 14, Vienna A-1091, Austria; Department of Human Evolution, Max-Planck-Institute for Evolutionary Anthropology, Deutscher Platz 6, Leipzig D-04103, Germany","Mitteroecker, P., Konrad Lorenz Institute for Evolution and Cognition Research, Adolf Lorenz Gasse 2, Altenberg A-3422, Austria, Department of Theoretical Biology, University of Vienna, Althanstrasse 14, Vienna A-1091, Austria; Gunz, P., Department of Human Evolution, Max-Planck-Institute for Evolutionary Anthropology, Deutscher Platz 6, Leipzig D-04103, Germany","Geometric morphometrics is the statistical analysis of form based on Cartesian landmark coordinates. After separating shape from overall size, position, and orientation of the landmark configurations, the resulting Procrustes shape coordinates can be used for statistical analysis. Kendall shape space, the mathematical space induced by the shape coordinates, is a metric space that can be approximated locally by a Euclidean tangent space. Thus, notions of distance (similarity) between shapes or of the length and direction of developmental and evolutionary trajectories can be meaningfully assessed in this space. Results of statistical techniques that preserve these convenient properties-such as principal component analysis, multivariate regression, or partial least squares analysis-can be visualized as actual shapes or shape deformations. The Procrustes distance between a shape and its relabeled reflection is a measure of bilateral asymmetry. Shape space can be extended to form space by augmenting the shape coordinates with the natural logarithm of Centroid Size, a measure of size in geometric morphometrics that is uncorrelated with shape for small isotropic landmark variation. The thin-plate spline interpolation function is the standard tool to compute deformation grids and 3D visualizations. It is also central to the estimation of missing landmarks and to the semilandmark algorithm, which permits to include outlines and surfaces in geometric morphometric analysis. The powerful visualization tools of geometric morphometrics and the typically large amount of shape variables give rise to a specific exploratory style of analysis, allowing the identification and quantification of previously unknown shape features. © The Author(s) 2009.","Asymmetry; Form space; Kendall shape space; Procrustes; Semilandmarks; Thin-plate spline",,Article,"Final",Open Access,Scopus,2-s2.0-69449097227
"Rohlf F.J.","","Rotational fit (Procrustes) methods",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"227","236",,254,,,,"Rohlf, F.J.",[No abstract available],,,,,,Scopus,2-s2.0-0003042557
"Slice D.E.","",[No title available],2005,"Modern Morphometrics in Physical Anthropology",,,,"","",,188,,,,"Slice, D.E.",[No abstract available],,,,"Final",,Scopus,2-s2.0-8644228122
"Kuhn S.L.","7103392233;","A geometric index of reduction for unifacial stone tools",1990,"Journal of Archaeological Science","17","5",,"583","593",,139,"10.1016/0305-4403(90)90038-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949286907&doi=10.1016%2f0305-4403%2890%2990038-7&partnerID=40&md5=686c4d0e62f4548bec9c1458232f5338","Department of Anthropology, University of New Mexico, Albuquerque, NM 87131, United States","Kuhn, S.L., Department of Anthropology, University of New Mexico, Albuquerque, NM 87131, United States","Issues relating to the maintenance and renewal of stone tools have become increasingly important in studies of prehistoric technologies. This paper presents an index of reduction for unifacial side-scrapers, a common tool form in many assemblages. The index is based on a simple geometric model of flake cross-sections. It is unprejudiced by varying paths of reduction and the original sizes of tools. However, the index is potentially subject to bias resulting from variation in the form of tool blanks: In spite of these constraints, experimental data suggest that the index constitutes' a reliable measure of the extent of tool reduction. © 1990.","Experimental flintknapping; Lithic technology; Scrapers; Tool reduction/resharpening",,Article,"Final",,Scopus,2-s2.0-44949286907
"Kuhn S.L.","7103392233;","""Unpacking"" reduction: Lithic raw material economy in the mousterian of west-central Italy",1991,"Journal of Anthropological Archaeology","10","1",,"76","106",,136,"10.1016/0278-4165(91)90022-P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949279951&doi=10.1016%2f0278-4165%2891%2990022-P&partnerID=40&md5=5edd3cdf7a58b8c98eb986ba1c3ab969","Department of Anthropology, University of New Mexico, Albuquerque, NM 87131, United States","Kuhn, S.L., Department of Anthropology, University of New Mexico, Albuquerque, NM 87131, United States","The extent to which lithic artifacts are consumed or reduced can be attributed to a number of factors, including raw material accessibility, differential transport, patterns of site use, and tool function. In order to isolate the influence of any single factor, independent data must be used to control for variation caused by the other factors. Variation in the reduction of cores and retouched tools in eight Mousterian assemblages from west-central Italy reflects the effects of several processes and contingencies. The availability of lithic raw materials strongly affects the extent of core exploitation but not the intensity of tool retouch or reduction. Evidence for differential transport accounts for some but not all of the remaining contrasts in tool reduction. Information derived from associated faunas suggests that contrasts in the duration or stability of cave-use events as well as activity variation stand behind some of the most pronounced differences in the intensity of reduction among the lithic assemblages. © 1991.",,,Article,"Final",,Scopus,2-s2.0-44949279951
"Dibble H.L.","","Interpreting typological variation of Middle Paleolithic scrapers: Function, style, or sequence of reduction?",1984,"Journal of Field Archaeology","11",,,"431","436",,110,,,,"Dibble, H.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0000994083
"Bookstein F.L.","7004606384;","Foundations of morphometrics.",1982,"Annual review of ecology and systematics. Volume 13",,,,"451","470",,102,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020374021&partnerID=40&md5=4f0d07429de7bc8a4e6433129e5043c8","The Univ. of Michigan, Ann Arbor, Michigan 48109, USA., United States","Bookstein, F.L., The Univ. of Michigan, Ann Arbor, Michigan 48109, USA., United States","Morphometrics involves the assignment and analysis of quantities in biological shapes. A framework is discussed into which specific morphometric methods can be fitted. -P.J.Jarvis",,,Article,"Final",,Scopus,2-s2.0-0020374021
"Lycett S.J., von Cramon-Taubadel N., Foley R.A.","9434693200;23471109300;7102887389;","A crossbeam co-ordinate caliper for the morphometric analysis of lithic nuclei: A description, test and empirical examples of application",2006,"Journal of Archaeological Science","33","6",,"847","861",,77,"10.1016/j.jas.2005.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645078897&doi=10.1016%2fj.jas.2005.10.014&partnerID=40&md5=0941f76714b1a033debac0223bb90b3f","Leverhulme Centre for Human Evolutionary Studies, University of Cambridge, Fitzwilliam Street, Cambridge CB2 1QH, United Kingdom","Lycett, S.J., Leverhulme Centre for Human Evolutionary Studies, University of Cambridge, Fitzwilliam Street, Cambridge CB2 1QH, United Kingdom; von Cramon-Taubadel, N., Leverhulme Centre for Human Evolutionary Studies, University of Cambridge, Fitzwilliam Street, Cambridge CB2 1QH, United Kingdom; Foley, R.A., Leverhulme Centre for Human Evolutionary Studies, University of Cambridge, Fitzwilliam Street, Cambridge CB2 1QH, United Kingdom","Over the last four decades, there has been surprisingly little advance in the quantitative morphometric analysis of Palaeolithic stone tools, especially compared to that which has taken place in biological morphometrics over a comparable time frame. In Palaeolithic archaeology's sister discipline of palaeoanthropology, detailed quantitative morphometric, geometric morphometric, and even 3D geometric morphometric analyses are now seen almost as routine. This period of relative methodological stasis may have been influenced by the lack of homologous landmarks on many lithic tools (essential for any comparative analysis), especially core-based technologies of the Lower Palaeolithic. Archaeological field conditions may also prohibit the use of expensive and delicate precision instruments in certain cases. Here we present a crossbeam co-ordinate caliper that - crucially - both geometrically locates and measures distances between morphologically homologous landmarks upon lithic nuclei via a single protocol. Intra- and inter-observer error tests provide evidence that error levels associated with the instrument fall within acceptable ranges. In addition, we present empirical examples of application in the form of a multivariate analysis of 55 discrete morphometric variables, and a 3D geometric morphometric analysis of co-ordinate landmark configurations derived from Pleistocene lithic nuclei (i.e. 'cores' sensu lato). We also introduce to lithic studies some techniques for the study of shape variation that have previously been used with success in biological morphometric analyses. We conclude that use of an instrument such as the crossbeam co-ordinate caliper may provide a useful adjunct to traditional techniques of lithic analysis, particularly in developing a quantitative morphometric approach. © 2005 Elsevier Ltd. All rights reserved.","3D geometric morphometrics; Geometric mean; Landmarks; Lithics; Morphometrics; Semi-landmarks; Size-adjustment","empirical analysis; GIS",Article,"Final",,Scopus,2-s2.0-33645078897
"Iovita R., McPherron S.P.","6506567945;6506777264;","The handaxe reloaded: A morphometric reassessment of Acheulian and Middle Paleolithic handaxes",2011,"Journal of Human Evolution","61","1",,"61","74",,70,"10.1016/j.jhevol.2011.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956090095&doi=10.1016%2fj.jhevol.2011.02.007&partnerID=40&md5=2a339928e9532c9eba4073f9518c709b","Forschungsbereich Altsteinzeit, Römisch-Germanisches Zentralmuseum Mainz, Schloß Monrepos, D-56567 Neuwied, Germany; Max Planck Institute for Evolutionary Anthropology, Deutscher Platz 6, D-04103 Leipzig, Germany","Iovita, R., Forschungsbereich Altsteinzeit, Römisch-Germanisches Zentralmuseum Mainz, Schloß Monrepos, D-56567 Neuwied, Germany; McPherron, S.P., Max Planck Institute for Evolutionary Anthropology, Deutscher Platz 6, D-04103 Leipzig, Germany","This paper examines shape and size variability in Mousterian of Acheulian Tradition (MTA) handaxes and compares the observed patterns to those in the Lower Paleolithic Acheulian, both to better understand variability in MTA handaxes and to test whether or not this variability, particularly as it relates to resharpening and reduction, is structured similarly to that in the Acheulian. The Acheulian data set is based on previously published data with the addition here of a study of the handaxes from the site of Boxgrove, England. The MTA data set is based on four classic sites from southwest France with large handaxe collections. Both standard caliper-based morphometrics and Elliptical Fourier Analysis applied to coordinate data taken from digitized images of handaxes are used to assess shape. The result is that, contrary to expectations based on assumptions of evolving technological skill, handaxes in the MTA are as or more variable in shape than Acheulian ones. This variation is allometric in Acheulian handaxes, and is linked to resharpening from the tip down to the base, but is not related to size in the MTA samples. These results suggest that the goals and constraints of handaxe manufacture, but particularly handaxe reduction as a result of reworking during use, were quite different in the MTA and Acheulian, implying that conclusions about hominin cognition drawn from patterns in shape variability in handaxes must be understood in the context of artifact life histories. © 2011 Elsevier Ltd.","Acheulian; Boxgrove; Elliptical Fourier analysis; Geometric morphometrics; Handaxe; Life-history; MTA; Shape variability","Acheulean; artifact; hominid; life history; morphometry; Paleolithic",Article,"Final",,Scopus,2-s2.0-79956090095
"Andrefsky Jr. W.","16201699100;","Experimental and archaeological verification of an index of retouch for hafted bifaces",2006,"American Antiquity","71","4",,"743","757",,69,"10.2307/40035887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847694033&doi=10.2307%2f40035887&partnerID=40&md5=95f4ea9fb34ce33aa092595944b65090","Department of Anthropology, Washington State University, Pullman, WA 99164-4910, United States","Andrefsky Jr., W., Department of Anthropology, Washington State University, Pullman, WA 99164-4910, United States","The relative amount of retouch on stone tools is central to many archaeological studies linking stone tool assemblages to broader issues of human social and economic land-use strategies. Unfortunately, most retouch measures deal with flake and blade tools and few (if any) have been developed for hafted bifaces and projectile points. This paper introduces a new index for measuring and comparing amount of retouch on hafted bifaces and projectile points that can be applied regardless of size or typological variance. The retouch index is assessed initially with an experimental data set of hafted bifaces that were dulled and resharpened on five occasions. The retouch index is then applied to a hafted biface assemblage made from tool stone that has been sourced by X-Ray Fluorescence (XRF). Results of both assessments show that the hafted biface retouch index (HRI) is effective for determining the amount of retouch and the degree to which the hafted bifaces have been curated. Copyright © 2006 by the Society for American Archaeology.",,,Article,"Final",,Scopus,2-s2.0-33847694033
"Buchanan B.","11241802300;","An analysis of Folsom projectile point resharpening using quantitative comparisons of form and allometry",2006,"Journal of Archaeological Science","33","2",,"185","199",,69,"10.1016/j.jas.2005.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30544454646&doi=10.1016%2fj.jas.2005.07.008&partnerID=40&md5=087478dc000d6515f04ca4ac804dccad","University of New Mexico, Department of Anthropology, Albuquerque, NM 87131, United States; 102-6385 Hawthorn Lane, Vancouver, BC V6T 1Z4, Canada","Buchanan, B., University of New Mexico, Department of Anthropology, Albuquerque, NM 87131, United States, 102-6385 Hawthorn Lane, Vancouver, BC V6T 1Z4, Canada","A sample of Folsom points from the Southern Plains of Texas and New Mexico is analyzed quantitatively in order to assess patterns of point resharpening in relation to distance to raw material source area and evaluate models of how resharpening was accomplished in terms of point design. A newly developed digitizing method is used to capture 12 interlandmark characters from coordinate data to describe point form. Principal components analysis is used to investigate size and shape variation in point form, and the symmetry and allometry of characters are used to explore the effects of resharpening on point dimensions. Size allometry illustrates the degree of association of relative point proportions, and other aspects of point form, with point size. Blade length, the leading edge of the weapon, was found to be isometric with point size, suggesting that this character was critical to the proper functioning of weapon tips. The regulation of blade length to point size supports a fixed-in-haft model for Folsom point resharpening. Multivariate analyses show that reduction in point forms do not correlate with distance-to-source but are more consistent with the model of the cyclical resharpening and replacement of points. This research illustrates that multivariate and allometric analyses are useful methods for investigating models of technological organization and the effects of resharpening on point form. © 2005 Elsevier Ltd. All rights reserved.","Allometry; Digitizing; Folsom; Multivariate analysis; Paleoindian; Resharpening; Southern Plains","allometry; digitization; tool use; New Mexico; North America; Texas; United States",Article,"Final",,Scopus,2-s2.0-30544454646
