Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Anapol F., Lee S.","6603890818;57191439107;","Morphological adaptation to diet in platyrrhine primates",1994,"American Journal of Physical Anthropology","94","2",,"239","261",,101,"10.1002/ajpa.1330940208",2-s2.0-0028276289
"Astúa D.","16241049400;","Evolution of scapula size and shape in didelphid marsupials (DidelphimorphiA: Didelphidae)",2009,"Evolution","63","9",,"2438","2456",,36,"10.1111/j.1558-5646.2009.00720.x",2-s2.0-69249189547
"Bailey S.E.","","Dental morphological affinities among late Pleistocene and recent humans",2000,"Dent. Anthropol.","14",,,"1","8",,29,,2-s2.0-0002444921
"Bailey S.E.","7401729489;","A closer look at Neanderthal postcanine dental morphology: The mandibular dentition",2002,"Anatomical Record","269","3",,"148","156",,124,"10.1002/ar.10116",2-s2.0-0037096089
"Bailey S.E.","7401729489;","A morphometric analysis of maxillary molar crowns of Middle-Late Pleistocene hominins",2004,"Journal of Human Evolution","47","3",,"183","198",,150,"10.1016/j.jhevol.2004.07.001",2-s2.0-4444275822
"Bailey S.E., Skinner M.M., Hublin J.-J.","7401729489;35724424000;6602606027;","What lies beneath? An evaluation of lower molar trigonid crest patterns based on both dentine and enamel expression",2011,"American Journal of Physical Anthropology","145","4",,"505","518",,75,"10.1002/ajpa.21468",2-s2.0-79960175981
"Benazzi S., Coquerelle M., Fiorenza L., Bookstein F., Katina S., Kullmer O.","24068504800;36140239700;26655465700;7004606384;21934394900;6508188094;","Comparison of dental measurement systems for taxonomic assignment of first molars",2011,"American Journal of Physical Anthropology","144","3",,"342","354",,36,"10.1002/ajpa.21409",2-s2.0-79951483191
"Benefit B.K.","6601939263;","The permanent dentition and phylogenetic position of Victoriapithecus from Maboko Island, Kenya",1993,"Journal of Human Evolution","25","2",,"83","172",,52,"10.1006/jhev.1993.1041",2-s2.0-0027881464
"Benefit B.R.","6601939263;","Phylogenetic, paleodemographic, and taphonomic implications of Victoriapithecus deciduous teeth from Maboko, Kenva",1994,"American Journal of Physical Anthropology","95","3",,"277","331",,18,"10.1002/ajpa.1330950304",2-s2.0-0028138526
"Benefit B.R.","","Biogeography, dietary specialization, and the diversification of African Plio-Pleistocene monkeys",1999,"African Biogeography, Climate Change, and Human Evolution",,,,"172","188",,34,,2-s2.0-0005662574
"Leiste D., Braun W., Fegeler W., Fegeler K., Stary A., Ruping K.W., Klaschka F., Colli E., Sartani A.","6507760175;56356696100;55995617900;6701823825;54795919900;6602934283;7003759787;7004059478;6601995836;","A double-blind clinical trial of fenticonazole (2%) spray versus naftifine (1%) spray in patients with cutaneous mycoses",1989,"Current Medical Research and Opinion","11","9",,"567","575",,362,"10.1185/03007998909112673",2-s2.0-0024357966
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L.","","Combining the tools of geometric morphometrics",1996,"Advances in Morphometrics",,,,"131","151",,312,,2-s2.0-0000317182
"Bunn J.M., Ungar P.S.","26649820500;7004160196;","Dental topography and diets of four old world monkey species",2009,"American Journal of Primatology","71","6",,"466","477",,38,"10.1002/ajp.20676",2-s2.0-67449104860
"Bunn J.M., Boyer D.M., Lipman Y., St. Clair E.M., Jernvall J., Daubechies I.","26649820500;9237630100;8540373800;23003738500;6603722003;7004612121;","Comparing Dirichlet normal surface energy of tooth crowns, a new technique of molar shape quantification for dietary inference, with previous methods in isolation and in combination",2011,"American Journal of Physical Anthropology","145","2",,"247","261",,77,"10.1002/ajpa.21489",2-s2.0-79956218110
"Chatterjee H.J., Ho S.Y., Barnes I., Groves C.","14063145400;7403716888;35503036400;7005017145;","Estimating the phylogeny and divergence times of primates using a supermatrix approach",2009,"BMC Evolutionary Biology","9","1", 259,"","",,151,"10.1186/1471-2148-9-259",2-s2.0-72149127147
"Constantino P.J., Lee J.J.-W., Gerbig Y., Hartstone-Rose A., Talebi M., Lawn B.R., Lucas P.W.","16400885800;18836555100;6603686505;35723996100;12786375200;7102574475;57190594026;","The role of tooth enamel mechanical properties in primate dietary adaptation",2012,"American Journal of Physical Anthropology","148","2",,"171","177",,25,"10.1002/ajpa.21576",2-s2.0-84861312487
"Cooke S.B.","36774313900;","Paleodiet of extinct platyrrhines with emphasis on the Caribbean forms: Three-dimensional geometric morphometrics of mandibular second molars",2011,"Anatomical Record","294","12",,"2073","2091",,30,"10.1002/ar.21502",2-s2.0-81255198344
"Deane A.","24491621700;","Platyrrhine incisors and diet",2012,"American Journal of Physical Anthropology","148","2",,"249","261",,8,"10.1002/ajpa.21598",2-s2.0-84861316376
"Delson E.","","Fossil colobine monkeys of the Circum-Mediterranean region",1973,"Fossil Co Lobine Monkeys of the Circum-Mediterranean Region. Parts 1 and 2",,,,"","",,2,,2-s2.0-84926417066
"Delson E.","57201830259;","Evolutionary history of the Cercopithecidae.",1975,"Contributions to primatology","5",,,"167","217",,154,,2-s2.0-0016412135
"Delson E.","","Fossil macaques, phyletic relationships and a scenario of deployment",1980,"The Macaques: Studies in Ecology, Behavior and Evolution",,,,"10","30",,232,,2-s2.0-0002621876
"Delson E.","","The oldest monkeys in Asia",1996,"International Symposium: Evolution of Asian Primates",,,,"40","",,24,,2-s2.0-0002089478
"Delson E., Andrews P.","","Evolution and interrelationships of the catarrhine primates",1975,"Phylogeny of the Primates: A Multidisciplinary Approach",,,,"405","446",,102,,2-s2.0-0000851926
"Slice D.E.","6603334019;","Geometric morphometrics",2007,"Annual Review of Anthropology","36",,,"261","281",,330,"10.1146/annurev.anthro.34.081804.120613",2-s2.0-36048942133
"Eck G.G.","","Theropithecus oswaldi from the Shungura Formation, Lower Omo Basin, southwestern Ethiopia",1987,"Les Faunes Plio-Pléistocènes de la Vallée de l'Omo (Éthiopie), Tome 3: Cercopithecidae de la Formation de Shungura","3",,,"123","139",,15,,2-s2.0-0012226238
"Eck G.G., Jablonski N.G.","","The skull of Theropithecus brumpti compared with those of other species of the genus Theropithecus",1987,"Les Faunes Plio-Pléistocènes De La Basse Vallée De L'Omo (Éthiopie). Cercopithecidae De La Formation De Shungura","3",,,"11","122",,36,,2-s2.0-0002782799
"Fabre P-.H., Rodrigues A., Douzery E.J.P.","24372542200;57213494908;6603906189;","Patterns of macroevolution among primates inferred from a supermatrix of mitochondrial and nuclear DNA",2009,"Molecular Phylogenetics and Evolution","53","3",,"808","825",,122,"10.1016/j.ympev.2009.08.004",2-s2.0-74949137624
