Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Zimmermann M.H.","",[No title available],1983,"Xylem Structure and the Ascent of Sap",,,,"","",,1719,,,,"Zimmermann, M.H.",[No abstract available],,,,,,Scopus,2-s2.0-0003758814
"Zobel B.J., Van Buijtenen J.P.","","Wood variation: Its causes and control",1989,"Wood Variation: Its Causes and Control",,,,"363","",,1066,,,,"Zobel, B.J.; Van Buijtenen, J.P.",[No abstract available],,,,,,Scopus,2-s2.0-0003732891
"Carlquist S.","",[No title available],1988,"Comparative Wood Anatomy",,,,"","",,973,,,,"Carlquist, S.",[No abstract available],,,,,,Scopus,2-s2.0-0003990445
"This P., Lacombe T., Thomas M.R.","55780314900;23485802300;7404754118;","Historical origins and genetic diversity of wine grapes",2006,"Trends in Genetics","22","9",,"511","519",,417,"10.1016/j.tig.2006.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747209106&doi=10.1016%2fj.tig.2006.07.008&partnerID=40&md5=7a1ec4eb3548e4342ec7c3563b9b476e","INRA, UMR Diversité et Génomes des Plantes Cultivées, 2 place P. Viala, 34060 Montpellier, France; CSIRO Plant Industry, PO Box 350, Glen Osmond, SA 5064, Australia","This, P., INRA, UMR Diversité et Génomes des Plantes Cultivées, 2 place P. Viala, 34060 Montpellier, France; Lacombe, T., INRA, UMR Diversité et Génomes des Plantes Cultivées, 2 place P. Viala, 34060 Montpellier, France; Thomas, M.R., CSIRO Plant Industry, PO Box 350, Glen Osmond, SA 5064, Australia","The genomic resources that are available to the grapevine research community have increased enormously during the past five years, in parallel with a renewed interest in grapevine (Vitis vinifera L.) germplasm resources and analysis of genetic diversity in grapes. Genetic variation, either natural or induced, is invaluable for crop improvement and understanding gene function, and the same is true for the grapevine. The history and vineyard cultural practices have largely determined the genetic diversity that exists today in grapevines. In this article, we provide a synopsis of what is known about the origin and genetics of grapes and how molecular genetics is helping us understand more about this plant: its evolution, historical development, genetic diversity and potential for genetic improvement. © 2006 Elsevier Ltd. All rights reserved.",,"cultivar; DNA fingerprinting; domestication; gene function; gene mutation; genetic analysis; genetic variability; genome size; germplasm; grape; molecular evolution; molecular genetics; nonhuman; priority journal; review; taxonomy; vineyard; wine; Databases, Genetic; Evolution, Molecular; Genetic Variation; Geography; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; History, 19th Century; History, 20th Century; History, Ancient; History, Medieval; Models, Biological; Variation (Genetics); Vitis; Wine; Vitaceae; Vitis; Vitis vinifera",Review,"Final",,Scopus,2-s2.0-33747209106
"Arroyo-García R., Ruiz-García L., Bolling L., Ocete R., López M.A., Arnold C., Ergul A., Söylemezoǧlu G., Uzun H.I., Cabello F., Ibáñez J., Aradhya M.K., Atanassov A., Atanassov I., Balint S., Cenis J.L., Costantini L., Gorislavets S., Grando M.S., Klein B.Y., McGovern P.E., Merdinoglu D., Pejic I., Pelsy F., Primikirios N., Risovannaya V., Roubelakis-Angelakis K.A., Snoussi H., Sotiri P., Tamhankar S., This P., Troshin L., Malpica J.M., Lefort F., Martinez-Zapater J.M.","6602852511;6602238598;56690241400;6603495756;26642624900;55439650100;10439136800;55972027500;34573824100;7006618717;7101992361;6602935044;26643006400;6701590616;40161046700;6602118815;7003850127;24398748700;6602729498;35885624500;7101833355;6602930303;6505919025;6507131802;6507939763;40162133700;7004904739;8595608900;9633216300;7005608629;7003805079;6505859107;6603704411;7004282104;7006185591;","Multiple origins of cultivated grapevine (Vitis vinifera L. ssp. sativa) based on chloroplast DNA polymorphisms",2006,"Molecular Ecology","15","12",,"3707","3714",,265,"10.1111/j.1365-294X.2006.03049.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749821311&doi=10.1111%2fj.1365-294X.2006.03049.x&partnerID=40&md5=31079944bef1dea67264f1aa1af8c299","Departamento de Genética Molecular de Plantas, Centro Nacional de Biotecnología, CSIC, C/Darwin 3, 28049 Madrid, Spain; Departamento de Biotecnología, INIA, Ctra. de A Coruña km 7, 28040 Madrid, Spain; Departamento de Fisiología Y Zoología, Universidad de Sevilla, C/Reina Mercedes 6, 41012 Sevilla, Spain; National Center of Competence in Research Plant Survival, University of Neuchâtel, Emile Argand 11, Ch 2007, Neuchâtel, Switzerland; Institute of Biotechnology, Ankara University, 065000 Besevler-Ankara, Turkey; Department of Horticulture, Faculty of Agriculture, Ankara University, 06110 Dişkapi-Ankara, Turkey; Department of Horticulture, Faculty of Agriculture, Akdeniz University, Antalya, Turkey; Finca El Encin, IMIDRA, 28800 Madrid, Spain; National Clonal Germplasm Repository, USDA-ARS, University of California, Davis, CA 95616, United States; AgroBioInstitute, D. Tzankov 8, 1164 Sofia, Bulgaria; Department of Viticulture, University of Agricultural Sciences and Veterinary Medicine 'Ion Ionescu de la Brad', Aleea Mihail Sadoveanu nr. 3, 700490, Romania; IMIDA, La Alberca, 30150 Murcia, Spain; Istituto Agrario S. Michele all'Adige, Via Mach 1, 38010 Trento, Italy; Institute of Vine and Wine Magarach, 31 Kirov St., 98600 Yalta, Crimea, Ukraine; Hebrew University Hospital, POB 12000, Ein Kerem, Jerusalem, Israel; MASCA, University of Pennsylvania Museum, Philadelphia, PA 19104, United States; UMR 1131 Santé de la Vigne et Qualité du Vin, INRA-ULP, 28 rue de Herrlisheim, 68021 Colmar, France; Department of Plant Breeding, Genetics and Biometrics, University of Zagreb, HR-10000 Zagreb, Croatia; Department of Biology, University of Crete, 71409 Heraklion, Crete, Greece; Laboratoire de Biotechnologie, Institut National de la Recherche Agronomique de Tunisie, Rue Hédi Karray, 2049 Ariana, Tunisia; Institute of Biology, Academy of Science, Tirana, Albania; Agharkar Research Institute, Department of Science and Technology, Pune-411 004, India; UMR DGPC Génétique de la Vigne, ENSAM-INRA, 2pl. P. Viala, 34060 Montpellier, France; Viticulture Department, Kuban State Agrarian University, 350044 Krasnodar, Russian Federation; Laboratory of Applied Genetics, School of Engineering of Lullier, University of Applied Sciences of Western Switzerland, 150 route de Presinge, 1254 Jussy, Switzerland","Arroyo-García, R., Departamento de Genética Molecular de Plantas, Centro Nacional de Biotecnología, CSIC, C/Darwin 3, 28049 Madrid, Spain, Departamento de Biotecnología, INIA, Ctra. de A Coruña km 7, 28040 Madrid, Spain; Ruiz-García, L., Departamento de Genética Molecular de Plantas, Centro Nacional de Biotecnología, CSIC, C/Darwin 3, 28049 Madrid, Spain; Bolling, L., Departamento de Genética Molecular de Plantas, Centro Nacional de Biotecnología, CSIC, C/Darwin 3, 28049 Madrid, Spain; Ocete, R., Departamento de Fisiología Y Zoología, Universidad de Sevilla, C/Reina Mercedes 6, 41012 Sevilla, Spain; López, M.A., Departamento de Fisiología Y Zoología, Universidad de Sevilla, C/Reina Mercedes 6, 41012 Sevilla, Spain; Arnold, C., National Center of Competence in Research Plant Survival, University of Neuchâtel, Emile Argand 11, Ch 2007, Neuchâtel, Switzerland; Ergul, A., Institute of Biotechnology, Ankara University, 065000 Besevler-Ankara, Turkey; Söylemezoǧlu, G., Department of Horticulture, Faculty of Agriculture, Ankara University, 06110 Dişkapi-Ankara, Turkey; Uzun, H.I., Department of Horticulture, Faculty of Agriculture, Akdeniz University, Antalya, Turkey; Cabello, F., Finca El Encin, IMIDRA, 28800 Madrid, Spain; Ibáñez, J., Finca El Encin, IMIDRA, 28800 Madrid, Spain; Aradhya, M.K., National Clonal Germplasm Repository, USDA-ARS, University of California, Davis, CA 95616, United States; Atanassov, A., AgroBioInstitute, D. Tzankov 8, 1164 Sofia, Bulgaria; Atanassov, I., AgroBioInstitute, D. Tzankov 8, 1164 Sofia, Bulgaria; Balint, S., Department of Viticulture, University of Agricultural Sciences and Veterinary Medicine 'Ion Ionescu de la Brad', Aleea Mihail Sadoveanu nr. 3, 700490, Romania; Cenis, J.L., IMIDA, La Alberca, 30150 Murcia, Spain; Costantini, L., Istituto Agrario S. Michele all'Adige, Via Mach 1, 38010 Trento, Italy; Gorislavets, S., Institute of Vine and Wine Magarach, 31 Kirov St., 98600 Yalta, Crimea, Ukraine; Grando, M.S., Istituto Agrario S. Michele all'Adige, Via Mach 1, 38010 Trento, Italy; Klein, B.Y., Hebrew University Hospital, POB 12000, Ein Kerem, Jerusalem, Israel; McGovern, P.E., MASCA, University of Pennsylvania Museum, Philadelphia, PA 19104, United States; Merdinoglu, D., UMR 1131 Santé de la Vigne et Qualité du Vin, INRA-ULP, 28 rue de Herrlisheim, 68021 Colmar, France; Pejic, I., Department of Plant Breeding, Genetics and Biometrics, University of Zagreb, HR-10000 Zagreb, Croatia; Pelsy, F., UMR 1131 Santé de la Vigne et Qualité du Vin, INRA-ULP, 28 rue de Herrlisheim, 68021 Colmar, France; Primikirios, N., Department of Biology, University of Crete, 71409 Heraklion, Crete, Greece; Risovannaya, V., Hebrew University Hospital, POB 12000, Ein Kerem, Jerusalem, Israel; Roubelakis-Angelakis, K.A., Department of Biology, University of Crete, 71409 Heraklion, Crete, Greece; Snoussi, H., Laboratoire de Biotechnologie, Institut National de la Recherche Agronomique de Tunisie, Rue Hédi Karray, 2049 Ariana, Tunisia; Sotiri, P., Institute of Biology, Academy of Science, Tirana, Albania; Tamhankar, S., Agharkar Research Institute, Department of Science and Technology, Pune-411 004, India; This, P., UMR DGPC Génétique de la Vigne, ENSAM-INRA, 2pl. P. Viala, 34060 Montpellier, France; Troshin, L., Viticulture Department, Kuban State Agrarian University, 350044 Krasnodar, Russian Federation; Malpica, J.M., Departamento de Biotecnología, INIA, Ctra. de A Coruña km 7, 28040 Madrid, Spain; Lefort, F., Laboratory of Applied Genetics, School of Engineering of Lullier, University of Applied Sciences of Western Switzerland, 150 route de Presinge, 1254 Jussy, Switzerland; Martinez-Zapater, J.M., Departamento de Genética Molecular de Plantas, Centro Nacional de Biotecnología, CSIC, C/Darwin 3, 28049 Madrid, Spain","The domestication of the Eurasian grape (Vitis vinifera ssp. sativa) from its wild ancestor (Vitis vinifera ssp. sylvestris) has long been claimed to have occurred in Transcaucasia where its greatest genetic diversity is found and where very early archaeological evidence, including grape pips and artefacts of a 'wine culture', have been excavated. Whether from Transcaucasia or the nearby Taurus or Zagros Mountains, it is hypothesized that this wine culture spread southwards and eventually westwards around the Mediterranean basin, together with the transplantation of cultivated grape cuttings. However, the existence of morphological differentiation between cultivars from eastern and western ends of the modern distribution of the Eurasian grape suggests the existence of different genetic contribution from local sylvestris populations or multilocal selection and domestication of sylvestris genotypes. To tackle this issue, we analysed chlorotype variation and distribution in 1201 samples of sylvestris and sativa genotypes from the whole area of the species' distribution and studied their genetic relationships. The results suggest the existence of at least two important origins for the cultivated germplasm, one in the Near East and another in the western Mediterranean region, the latter of which gave rise to many of the current Western European cultivars. Indeed, over 70% of the Iberian Peninsula cultivars display chlorotypes that are only compatible with their having derived from western sylvestris populations. © 2006 The Authors.","Chloroplasts diversity; Crop origins; Domestication; Domestication centres; Genetic variation; Grapevine","chloroplast DNA; microsatellite DNA; article; chemistry; classification; Europe; genetic polymorphism; genetics; genotype; grape; Middle East; phylogeny; Southern Europe; DNA, Chloroplast; Europe; Genotype; Mediterranean Region; Microsatellite Repeats; Middle East; Phylogeny; Polymorphism, Genetic; Vitis; Pips; Vitis; Vitis sp.; Vitis vinifera",Article,"Final",,Scopus,2-s2.0-33749821311
"Aradhya M.K., Dangl G.S., Prins B.H., Boursiquot J.-M., Walker M.A., Meredith C.P., Simon C.J.","6602935044;6506247799;6701413609;6603496157;35552704700;7006518906;7401975324;","Genetic structure and differentiation in cultivated grape, Vitis vinifera L",2003,"Genetical Research","81","3",,"179","192",,201,"10.1017/S0016672303006177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037770194&doi=10.1017%2fS0016672303006177&partnerID=40&md5=80c93797c2ce3aaa2a929f477a0e7ddd","National Clonal Germplasm Repository, US Department of Agriculture, University of California, One Shields Avenue, Davis, CA 95616, United States; Department of Viticulture/Enology, University of California, One Shields Avenue, Davis, CA 95616, United States; UMR, Equipe Vigne, ENSA.M-INRA, Montpellier, France","Aradhya, M.K., National Clonal Germplasm Repository, US Department of Agriculture, University of California, One Shields Avenue, Davis, CA 95616, United States; Dangl, G.S., Department of Viticulture/Enology, University of California, One Shields Avenue, Davis, CA 95616, United States; Prins, B.H., National Clonal Germplasm Repository, US Department of Agriculture, University of California, One Shields Avenue, Davis, CA 95616, United States; Boursiquot, J.-M., UMR, Equipe Vigne, ENSA.M-INRA, Montpellier, France; Walker, M.A., Department of Viticulture/Enology, University of California, One Shields Avenue, Davis, CA 95616, United States; Meredith, C.P., Department of Viticulture/Enology, University of California, One Shields Avenue, Davis, CA 95616, United States; Simon, C.J., National Clonal Germplasm Repository, US Department of Agriculture, University of California, One Shields Avenue, Davis, CA 95616, United States","222 cultivated (Vitis vinifera) and 22 wild (V. vinifera ssp. sylvestris) grape accessions were analysed for genetic diversity and differentiation at eight microsatellite loci. A total of 94 alleles were detected, with extensive polymorphism among the accessions. Multivariate relationships among accessions revealed 16 genetic groups structured into three clusters, supporting the classical eco-geographic grouping of grape cultivars: occidentalis, pontica and orientalis. French cultivars appeared to be distinct and showed close affinity to the wild progenitor, ssp. sylvestris from south-western France (Pyrenees) and Tunisia, probably reflecting the origin and domestication history of many of the old wine cultivars from France. There was appreciable level of differentiation between table and wine grape cultivars, and the Muscat types were somewhat distinct within the wine grapes. Contingency χ2 analysis indicated significant heterogeneity in allele frequencies among groups at all loci. The observed heterozygosities for different groups ranged from 0.625 to 0.9 with an overall average of 0.771. Genetic relationships among groups suggested hierarchical differentiation within cultivated grape. The gene diversity analysis indicated narrow divergence among groups and that most variation was found within groups ( ∼ 85%). Partitioning of diversity suggested that the remaining variation is somewhat structured hierarchically at different levels of differentiation. The overall organization of genetic diversity suggests that the germplasm of cultivated grape represents a single complex gene pool and that its structure is determined by strong artificial selection and a vegetative mode of reproduction.",,"allele; article; artificial selection; contingent valuation; controlled study; cultivar; cultivated species; domestication; ecotype; France; gene cluster; gene frequency; gene locus; gene pool; genetic analysis; genetic heterogeneity; genetic polymorphism; genetic variability; geographical variation (species); germplasm; grape; heterozygosity; microsatellite marker; molecular phylogeny; multivariate analysis; nonhuman; plant genetics; plant reproduction; resource partitioning; Tunisia; wild type; wine; Geography; Microsatellite Repeats; Phylogeny; Polymorphism, Genetic; Variation (Genetics); Vitis; Embryophyta; Vitaceae; Vitis sp.; Vitis vinifera",Article,"Final",,Scopus,2-s2.0-0037770194
"Chabal L., Fabre L., Terral J.-F., Théry-Parisot I.","","L'anthracologie",1999,"La Botanique",,,,"43","104",,145,,,,"Chabal, L.; Fabre, L.; Terral, J.-F.; Théry-Parisot, I.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0041398678
"Levadoux L.","","Les populations sauvages et cultivées de Vitis vinifera L",1956,"Ann Amelior Plantes","6",,,"59","118",,140,,,,"Levadoux, L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0002600952
"Terral J.F., Tabard E., Bouby L., Ivorra S., Pastor T., Figueiral I., Picq S., Chevance J.B., Jung C., Fabre L., Tardy C., Compan M., Bacilieri R., Lacombe T., This P.","6603580109;36092051300;6602374494;14828273200;36128801200;6603067806;36091924200;36090768000;36128501700;7007048195;56662953100;36090825000;6603491440;23485802300;55780314900;","Evolution and history of grapevine (Vitis vinifera) under domestication: new morphometric perspectives to understand seed domestication syndrome and reveal origins of ancient European cultivars.",2010,"Annals of botany","105","3",,"443","455",,128,"10.1093/aob/mcp298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952960951&doi=10.1093%2faob%2fmcp298&partnerID=40&md5=0b4224103db44cd0f0365491488c0c03","Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France","Terral, J.F., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Tabard, E., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Bouby, L., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Ivorra, S., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Pastor, T., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Figueiral, I., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Picq, S., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Chevance, J.B., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Jung, C., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Fabre, L., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Tardy, C., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Compan, M., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Bacilieri, R., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; Lacombe, T., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France; This, P., Biodiversité, UMR 5059 CNRS/UM2/EPHE, Equipe Ressources Biologiques, Centre de Bio-Archéologie et d'Ecologie, Sociétés, Institut de Botanique (Université Montpellier 2), 163 Rue Auguste Broussonet, Montpellier, 34090, France","BACKGROUND AND AIMS: In spite of the abundance of archaeological, bio-archaeological, historical and genetic data, the origins, historical biogeography, identity of ancient grapevine cultivars and mechanisms of domestication are still largely unknown. Here, analysis of variation in seed morphology aims to provide accurate criteria for the discrimination between wild grapes and modern cultivars and to understand changes in functional traits in relation to the domestication process. This approach is also used to quantify the phenotypic diversity in the wild and cultivated compartments and to provide a starting point for comparing well-preserved archaeological material, in order to elucidate the history of grapevine varieties. METHODS: Geometrical analysis (elliptic Fourier transform method) was applied to grapevine seed outlines from modern wild individuals, cultivars and well-preserved archaeological material from southern France, dating back to the first to second centuries. KEY RESULTS AND CONCLUSIONS: Significant relationships between seed shape and taxonomic status, geographical origin (country or region) of accessions and parentage of varieties are highlighted, as previously noted based on genetic approaches. The combination of the analysis of modern reference material and well-preserved archaeological seeds provides original data about the history of ancient cultivated forms, some of them morphologically close to the current 'Clairette' and 'Mondeuse blanche' cultivars. Archaeobiological records seem to confirm the complexity of human contact, exchanges and migrations which spread grapevine cultivation in Europe and in Mediterranean areas, and argue in favour of the existence of local domestication in the Languedoc (southern France) region during Antiquity.",,"article; Europe; evolution; Fourier analysis; genetics; grape; physiology; plant seed; prenatal development; Europe; Evolution; Fourier Analysis; Seeds; Vitis",Article,"Final",Open Access,Scopus,2-s2.0-77952960951
"Lacombe T., Boursiquot J.-M., Laucou V., Di Vecchi-Staraz M., Péros J.-P., This P.","23485802300;6603496157;7801670003;25930374200;6601974774;55780314900;","Large-scale parentage analysis in an extended set of grapevine cultivars (Vitis vinifera L.)",2013,"Theoretical and Applied Genetics","126","2",,"401","414",,110,"10.1007/s00122-012-1988-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873096913&doi=10.1007%2fs00122-012-1988-2&partnerID=40&md5=d087b4a5e9df5459d472b37be893834f","UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France; UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, Montpellier SupAgro, 2 Place Viala, 34060 Montpellier, France; Vinyer de la Ruca, rue de l'artisanat, 66650 Banyuls-sur-Mer, France","Lacombe, T., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France; Boursiquot, J.-M., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, Montpellier SupAgro, 2 Place Viala, 34060 Montpellier, France; Laucou, V., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France; Di Vecchi-Staraz, M., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France, Vinyer de la Ruca, rue de l'artisanat, 66650 Banyuls-sur-Mer, France; Péros, J.-P., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France; This, P., UMR AGAP, Equipe Diversité et Adaptation de la Vigne et des Espèces Méditerraneennes, INRA, 2 Place Viala, 34060 Montpellier, France","Inheritance of nuclear microsatellite markers (nSSR) has been proved to be a powerful tool to verify or uncover the parentage of grapevine cultivars. The aim of the present study was to undertake an extended parentage analysis using a large sample of Vitis vinifera cultivars held in the INRA ""Domaine de Vassal"" Grape Germplasm Repository (France). A dataset of 2,344 unique genotypes (i. e. cultivars without synonyms, clones or mutants) identified using 20 nSSR was analysed with FAMOZ software. Parentages showing a logarithm of odds score higher than 18 were validated in relation to the historical data available. The analysis first revealed the full parentage of 828 cultivars resulting in: (1) 315 original full parentages uncovered for traditional cultivars, (2) 100 full parentages confirming results established with molecular markers in prior papers and 32 full parentages that invalidated prior results, (3) 255 full parentages confirming pedigrees as disclosed by the breeders and (4) 126 full parentages that invalidated breeders' data. Second, incomplete parentages were determined in 1,087 cultivars due to the absence of complementary parents in our cultivar sample. Last, a group of 276 genotypes showed no direct relationship with any other cultivar in the collection. Compiling these results from the largest set of parentage data published so far both enlarges and clarifies our knowledge of the genetic constitution of cultivated V. vinifera germplasm. It also allows the identification of the main genitors involved in varietal assortment evolution and grapevine breeding. © 2012 Springer-Verlag Berlin Heidelberg.",,"Data sets; Germplasms; Grapevine cultivars; Historical data; Microsatellite markers; Molecular marker; Vitis vinifera; Fruits; Cultivation; microsatellite DNA; algorithm; article; computer program; genetic variability; genetics; genotype; quantitative trait; Vitis; Algorithms; Genetic Variation; Genotype; Microsatellite Repeats; Quantitative Trait, Heritable; Software; Vitis; Vitaceae; Vitis; Vitis vinifera",Article,"Final",,Scopus,2-s2.0-84873096913
